num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
21,2013-12-15T08:27:52+0100,210,tower_center,,test.jpg,G1_1.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.989152,151.232497,-33.989152 151.232497,0
56,2013-12-15T08:33:43+0100,561,monument_center,,test.jpg,G1_2.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.988394,151.230674,-33.988394 151.230674,0
63,2013-12-15T08:34:47+0100,625,sail_south_tip,,test.jpg,G1_3.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.987597,151.231785,-33.987597 151.231785,0
76,2013-12-15T08:36:57+0100,755,toilet_center,,test.jpg,G2_1.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.98897,151.233499,-33.98897 151.233499,0
76,2013-12-15T08:36:57+0100,755,bareIsland_bridge_end,,test.jpg,G2_2.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.991485,151.231678,-33.991485 151.231678,0
