num,dt,sec,id,imgURL,imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
603,2014-05-23T12:31:18+0000,25,B00000635_21I4N2_20140523_123117,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_603.jpg,g1_a1_sml_603.jpg,2,1,4014,2,1,0.219,-1.004,0.136,0.176,-1.142,-0.297,45696,59113,47735,65535,29.3,2,-33.98937,151.23279,-33.98937 151.23279,0,140,0.36,2.89,45.9,0.6,11.8,1.59,1,1.25,1.688,1,1.156,83.971,-88.56,25.345,0,,-33.98926667,151.2326433,-33.9892666667 151.232643333,295
607,2014-05-23T12:31:47+0000,54,B00000639_21I4N2_20140523_123147,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_607.jpg,g1_a1_sml_607.jpg,2,1,4014,2,1,0.069,-0.961,-0.225,0.109,-0.852,-0.343,37026,43098,28352,65535,34,2,-33.98933,151.23269,-33.98933 151.23269,0,295,1.46,10.24,44.2,0.8,15.3,1.83,2,1.25,1.719,1,1.25,96.027,-81.56,347.94,0,,-33.98933,151.23269,-33.98933 151.23269,295
608,2014-05-23T12:31:54+0000,61,B00000640_21I4N2_20140523_123154,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_608.jpg,g1_a1_sml_608.jpg,2,1,4014,2,1,0.066,-1.043,-0.011,0.088,-0.86,-0.36,36327,42975,29882,65535,34,2,-33.98929,151.23259,-33.98929 151.23259,0,248,0.85,5.96,44.1,0.9,20.48,1.9,1,1.25,1.75,1,1.188,97.563,-83.84,350.28,0,,-33.98931,151.2326033,-33.98931 151.232603333,248
609,2014-05-23T12:32:01+0000,68,B00000641_21I4N2_20140523_123201,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_609.jpg,g1_a1_sml_609.jpg,2,1,4014,2,1,0.181,-0.932,0.015,-0.01,-0.881,-0.478,36315,42315,28673,65535,34,2,-33.98931,151.23253,-33.98931 151.23253,0,84,1.59,11.12,46.3,0.9,16.41,1.92,2,1.25,1.75,1,1.156,97.737,-86.46,352.41,0,,-33.98929,151.2325667,-33.98929 151.232566667,46
613,2014-05-23T12:32:29+0000,96,B00000645_21I4N2_20140523_123229,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_613.jpg,g1_a1_sml_613.jpg,2,1,4014,2,0,-0.005,-0.95,-0.076,-0.221,-0.849,-0.63,36207,40163,26146,65535,34,2,-33.98927,151.23258,-33.98927 151.23258,0,308,0.51,3.55,48.3,0.8,11.03,1.56,2,1.25,1.75,1,1.156,101.31,-88.84,327.58,0,,-33.98927667,151.2325533,-33.9892766667 151.232553333,308
614,2014-05-23T12:32:36+0000,103,B00000646_21I4N2_20140523_123236,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_614.jpg,g1_a1_sml_614.jpg,2,1,4014,2,0,0.023,-0.988,-0.22,-0.166,-0.852,-0.61,37479,41906,27803,65535,34,2,-33.98925,151.23255,-33.98925 151.23255,0,43,0.6,10.72,48.5,0.5,10.86,1.59,2,1.25,1.75,1,1.156,102.22,-88.48,337.62,0,,-33.98923333,151.2325867,-33.9892333333 151.232586667,43
619,2014-05-23T12:32:56+0000,123,B00000651_21I4N2_20140523_123256,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_619.jpg,g1_a1_sml_619.jpg,2,1,4014,2,0,0.023,-0.988,-0.22,-0.166,-0.852,-0.61,36404,40839,27176,65535,34,2,-33.98918,151.23263,-33.98918 151.23263,0,0,0.09,0.09,48.7,1.1,18.04,1.78,1,1.25,1.75,1,1.156,103.66,-91.07,353.02,2,,-33.98920333,151.2326033,-33.9892033333 151.232603333,0
620,2014-05-23T12:32:57+0000,124,B00000652_21I4N2_20140523_123256,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_620.jpg,g1_a1_sml_620.jpg,2,1,4014,2,0,0.023,-0.988,-0.22,-0.166,-0.852,-0.61,36404,40839,27176,65535,34,2,-33.98918,151.23263,-33.98918 151.23263,0,0,0.09,0.09,48.7,1.1,18.04,1.78,2,1.25,1.75,1,1.156,103.66,-91.11,13.047,2,,-33.98917667,151.2325567,-33.9891766667 151.232556667,273
630,2014-05-23T12:34:01+0000,188,B00000662_21I4N2_20140523_123400,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_630.jpg,g1_a1_sml_630.jpg,2,1,4014,2,1,0.034,-0.913,-0.307,-0.443,-0.893,-0.365,34303,36610,21256,65535,34,2,-33.98917,151.23241,-33.98917 151.23241,0,27,0.77,10.02,48.3,0.8,12.68,1.54,2,1.25,1.688,1,1.813,106.54,-90.57,271.62,0,,-33.98914667,151.2325,-33.9891466667 151.2325,27
631,2014-05-23T12:34:14+0000,201,B00000663_21I4N2_20140523_123413,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_631.jpg,g1_a1_sml_631.jpg,2,1,4014,2,1,0.11,-1.096,-0.402,-0.421,-0.906,-0.362,30320,33199,18784,63071,29.6,2,-33.98909,151.23246,-33.98909 151.23246,0,293,1.21,30.24,46.8,1.4,16.33,1.55,2,1.25,1.688,1,1.813,108.65,-88.18,297.71,0,,-33.98911667,151.23242,-33.9891166667 151.23242,269
