num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
317,2013-12-17T07:38:32+0100,1818,B00000370_21I558_20131217_073826,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_317.jpg,g1_a2_sml_317.jpg,G1_3.jpg,3,1,4014,2,1,0.006,-1.031,-0.058,0.103,-0.317,-0.194,65053,65535,57718,65535,30.9,2,-33.9893,151.23216,-33.98930 151.23216,0,320,0.18,1.45,42.1,0.4,8.78,1.48,1,1.25,1.902,1,1.375,94.588,-91.08,299.98,0,,-33.98929,151.2321533,-33.98929 151.232153333,320
410,2013-12-17T07:57:29+0100,194,B00000463_21I558_20131217_075728,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_410.jpg,g1_a2_sml_410.jpg,G1_1.jpg,1,1,4014,2,1,-0.004,-0.779,0.303,0.105,-0.323,-0.1,31027,45106,43342,65535,26.8,2,-33.98923,151.23259,-33.98923 151.23259,0,339,1.19,10.67,46.7,1.6,15.09,1.79,1,1.25,1.906,1,1.188,75.438,-88.11,113.4,0,,-33.98917333,151.2325367,-33.9891733333 151.232536667,0
428,2013-12-17T08:00:54+0100,399,B00000481_21I558_20131217_080048,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_428.jpg,g1_a2_sml_428.jpg,G1_1.jpg,1,1,4014,2,1,-0.027,-0.88,0.18,0.107,-0.322,-0.099,35935,50366,46360,65535,28.6,2,-33.98916,151.23195,-33.98916 151.23195,0,303,1,9.99,46.2,0.7,12.09,1.69,1,1.25,2,1,1.094,75.721,-92.16,71.359,0,,-33.98914333,151.2319367,-33.9891433333 151.231936667,303
436,2013-12-17T08:02:06+0100,471,B00000489_21I558_20131217_080206,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_436.jpg,g1_a2_sml_436.jpg,G1_1.jpg,1,1,4014,2,1,-0.09,-1.137,0.333,0.104,-0.283,0.051,65535,65535,65535,65535,35.8,2,-33.98873,151.23134,-33.98873 151.23134,0,337,0.72,7.22,42.2,0.7,12.77,1.92,1,1.25,1.906,1,1.156,73.637,-93.9,82.629,0,,-33.98872667,151.23136,-33.9887266667 151.23136,337
448,2013-12-17T08:05:02+0100,647,B00000501_21I558_20131217_080502,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_448.jpg,g1_a2_sml_448.jpg,G1_1.jpg,1,1,4014,2,1,0.062,-0.999,0.269,0.11,-0.293,0.021,65535,65535,65535,65535,42.9,2,-33.98832,151.23138,-33.98832 151.23138,0,338,1.28,17.88,32.1,1.3,14.53,2.32,1,1.25,1.875,1,1.156,72.714,-92.35,73.618,0,,-33.98828667,151.23143,-33.9882866667 151.23143,338
458,2013-12-17T08:07:01+0100,766,B00000511_21I558_20131217_080700,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_458.jpg,g1_a2_sml_458.jpg,G1_1.jpg,1,1,4014,2,1,0.107,-0.804,-0.101,-0.096,-0.296,0.018,63417,65535,54552,65535,41.4,2,-33.98763,151.23138,-33.98763 151.23138,0,157,0.24,2.41,29.1,0.4,11.98,1.88,1,1.31,1.656,1,1.25,79.864,-91.91,258.21,0,,-33.98762667,151.23136,-33.9876266667 151.23136,320
481,2013-12-17T08:11:22+0100,1027,B00000534_21I558_20131217_081122,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_481.jpg,g1_a2_sml_481.jpg,G1_1.jpg,1,1,4014,2,1,0.114,-0.649,-0.1,-0.038,-0.331,-0.196,31195,37752,33176,65535,33.5,2,-33.98772,151.23143,-33.98772 151.23143,0,232,1.03,9.24,26,0.2,10.58,1.8,1,1.25,1.75,1,1.156,83.831,-89.82,355.16,0,,-33.9877,151.2314133,-33.9877 151.231413333,232
489,2013-12-17T08:13:03+0100,1128,B00000542_21I558_20131217_081303,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_489.jpg,g1_a2_sml_489.jpg,G1_1.jpg,1,1,4014,2,1,0.112,-0.695,-0.275,0.114,-0.302,-0.125,36796,51219,46898,65535,29.3,2,-33.98802,151.23071,-33.98802 151.23071,0,263,1.13,10.2,31.9,1.2,10.77,1.56,1,1.25,1.781,1,1.156,83.184,-91.26,22.836,0,,-33.98801667,151.2307033,-33.9880166667 151.230703333,263
497,2013-12-17T08:14:29+0100,1214,B00000550_21I558_20131217_081429,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_497.jpg,g1_a2_sml_497.jpg,G1_1.jpg,1,1,4014,2,1,0.068,-0.895,0.112,-0.021,-0.325,-0.2,43736,60147,54075,65535,27.7,2,-33.9885,151.2301,-33.98850 151.23010,0,185,1.12,8.94,36.5,1.2,8.34,1.46,1,1.25,1.875,1,1.125,77.809,-90.63,354.82,0,,-33.98849,151.2301,-33.98849 151.2301,185
505,2013-12-17T08:15:43+0100,1288,B00000558_21I558_20131217_081543,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_505.jpg,g1_a2_sml_505.jpg,G1_1.jpg,1,1,4014,2,1,-0.146,-1.059,0.301,-0.06,-0.329,-0.202,40699,56571,51319,65535,26.8,2,-33.98911,151.23023,-33.98911 151.23023,0,0,0.49,4.45,34.1,0.5,10.9,1.66,1,1.25,1.969,1,1.063,82.374,-89.35,339.98,0,,-33.98906333,151.2302467,-33.9890633333 151.230246667,34
